crop_name_1
4021
1279
1015
822
669
413
406
373
322
315
221
201
177
174
166
151
143
123
105
101
67
62
40
31
30
29
29
23
21
20
14
12
12
11
9
8
7
7
6
6
6
5
5
5
4
4
3
3
3
2
2
2
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
